victim_name,victim_weapon,victim_parts,killer_name,killer_weapon,killer_parts,distance,log_time
KingDom_Maru,WeapQBZ95_C_10,"['Item_Attach_Weapon_Lower_LaserPointer_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Muzzle_FlashHider_Large_C']",kor_onestar_,WeapUZI_C,['Item_Attach_Weapon_Muzzle_FlashHider_Medium_C'],2443.151123046875,2023-06-17 14:53:56.404
M1772000290,WeapUZI_C_6,['Item_Attach_Weapon_Upper_Holosight_C'],zlkills,WeapVector_C,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Lower_LightweightForeGrip_C']",3404.60986328125,2023-06-17 14:54:09.458
tlgud1239,WeapFNFal_C_5,['Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C'],zlkills,WeapVector_C,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Lower_LightweightForeGrip_C']",4596.08056640625,2023-06-17 14:54:09.461
hanjoo0610,WeapBerreta686_C_0,,StellaR_96,WeapACE32_C,"['Item_Attach_Weapon_Stock_AR_Composite_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C']",1347.311767578125,2023-06-17 14:54:17.945
58774485sss,WeapVector_C_4,"['Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Medium_C', 'Item_Attach_Weapon_Upper_Scope3x_C']",frenchblack01,WeapHK416_C,['Item_Attach_Weapon_Lower_ThumbGrip_C'],2808.5205078125,2023-06-17 14:54:17.947
please_mercy_me,WeapAK47_C_3,"['Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Upper_Holosight_C', 'Item_Attach_Weapon_Muzzle_FlashHider_Large_C']",CHAMEMANDO,WeapQBZ95_C,['Item_Attach_Weapon_Magazine_QuickDraw_Large_C'],1702.0045166015625,2023-06-17 14:54:24.061
1992_BlackMonkey,WeapQBZ95_C_16,"['Item_Attach_Weapon_Upper_ACOG_01_C', 'Item_Attach_Weapon_SideRail_DotSight_RMR_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C']",aejskleil,WeapAUG_C,"['Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Muzzle_FlashHider_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C']",4178.81689453125,2023-06-17 14:54:33.316
Angelius_cat,WeapHK416_C_18,"['Item_Attach_Weapon_Upper_Holosight_C', 'Item_Attach_Weapon_Lower_AngledForeGrip_C', 'Item_Attach_Weapon_Muzzle_FlashHider_Large_C']",aejskleil,WeapAUG_C,"['Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Muzzle_FlashHider_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C']",4604.1767578125,2023-06-17 14:54:33.318
wnsduddl833,WeapSKS_C_5,"['Item_Attach_Weapon_Lower_LightweightForeGrip_C', 'Item_Attach_Weapon_Stock_SniperRifle_CheekPad_C', 'Item_Attach_Weapon_Muzzle_Suppressor_Large_C', 'Item_Attach_Weapon_Magazine_Extended_SniperRifle_C', 'Item_Attach_Weapon_Upper_Scope3x_C']",GA__________GA,WeapAK47_C,['Item_Attach_Weapon_Upper_DotSight_01_C'],4501.86181640625,2023-06-17 14:54:53.589
Melchi0915,WeapAUG_C_13,"['Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Muzzle_FlashHider_Large_C']",GA__________GA,WeapQBZ95_C,['Item_Attach_Weapon_Upper_DotSight_01_C'],3375.965576171875,2023-06-17 14:54:53.591
hannnhj,WeapSKS_C_17,"['Item_Attach_Weapon_Upper_Scope3x_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C']",Seung-Yun-Mo,WeapHK416_C,"['Item_Attach_Weapon_Magazine_QuickDraw_Large_C', 'Item_Attach_Weapon_Lower_ThumbGrip_C', 'Item_Attach_Weapon_Upper_Aimpoint_C', 'Item_Attach_Weapon_Muzzle_Suppressor_Large_C']",2434.193359375,2023-06-17 14:55:00.103
nyum_nyum_,WeapACE32_C_8,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_HalfGrip_C', 'Item_Attach_Weapon_Upper_Scope3x_C', 'Item_Attach_Weapon_Stock_AR_HeavyStock_C']",0070_Handeul,WeapHK416_C,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_HalfGrip_C']",4135.189453125,2023-06-17 14:55:00.105
BBWON,WeapSKS_C_2,"['Item_Attach_Weapon_Muzzle_Compensator_SniperRifle_C', 'Item_Attach_Weapon_Lower_LightweightForeGrip_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Upper_ACOG_01_C', 'Item_Attach_Weapon_Stock_SniperRifle_CheekPad_C']",slofe,WeapAUG_C,"['Item_Attach_Weapon_Muzzle_Suppressor_Large_C', 'Item_Attach_Weapon_Lower_LightweightForeGrip_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C', 'Item_Attach_Weapon_Upper_Aimpoint_C']",10994.36328125,2023-06-17 14:55:00.938
boyulsan,WeapHK416_C_12,"['Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Stock_AR_Composite_C', 'Item_Attach_Weapon_Upper_Holosight_C']",curious100,WeapQBZ95_C,['Item_Attach_Weapon_Upper_Aimpoint_C'],2879.715087890625,2023-06-17 14:55:01.138
GBV_kar98,WeapAUG_C_17,"['Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Lower_AngledForeGrip_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Muzzle_FlashHider_Large_C']",LrZr--------bye,WeapAUG_C,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Upper_ACOG_01_C']",1552.8846435546875,2023-06-17 14:55:15.736
jang33312,WeapAUG_C_18,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Muzzle_FlashHider_Large_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C']",NRs2BS,WeapHK416_C,"['Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C', 'Item_Attach_Weapon_Upper_Scope3x_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Stock_AR_HeavyStock_C']",1614.863037109375,2023-06-17 14:55:15.739
curious100,WeapVector_C_1,['Item_Attach_Weapon_Upper_Holosight_C'],CHAMEMANDO,WeapQBZ95_C,['Item_Attach_Weapon_Magazine_QuickDraw_Large_C'],1324.2711181640625,2023-06-17 14:55:38.883
Gahizae,WeapAUG_C_0,"['Item_Attach_Weapon_Lower_HalfGrip_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C']",CatBrooch,WeapBerylM762_C,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_ThumbGrip_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C']",3341.479736328125,2023-06-17 14:56:11.888
nuni_8282,WeapQBZ95_C_17,"['Item_Attach_Weapon_Upper_Holosight_C', 'Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C']",kaka5406,WeapM24_C,['Item_Attach_Weapon_Upper_ACOG_01_C'],3700.36181640625,2023-06-17 14:56:34.500
TOP_ACE32,WeapSKS_C_10,"['Item_Attach_Weapon_Upper_ACOG_01_C', 'Item_Attach_Weapon_Muzzle_Compensator_SniperRifle_C']",HJ_sub,WeapKar98k_C,"['Item_Attach_Weapon_Upper_ACOG_01_C', 'Item_Attach_Weapon_Muzzle_Suppressor_SniperRifle_C']",13649.7548828125,2023-06-17 14:57:13.453
OsstemNurse,WeapHK416_C_11,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Stock_AR_Composite_C', 'Item_Attach_Weapon_Lower_ThumbGrip_C']",lmh8630,WeapHK416_C,"['Item_Attach_Weapon_Muzzle_FlashHider_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Lower_LightweightForeGrip_C', 'Item_Attach_Weapon_Stock_AR_HeavyStock_C']",2120.88427734375,2023-06-17 14:57:26.941
mucleup,WeapQBU88_C_10,"['Item_Attach_Weapon_Upper_Scope3x_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C']",HJ_sub,WeapQBU88_C,"['Item_Attach_Weapon_Upper_ACOG_01_C', 'Item_Attach_Weapon_Muzzle_Suppressor_SniperRifle_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C']",7139.06005859375,2023-06-17 14:57:26.946
CatBrooch,WeapBerylM762_C_5,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_HalfGrip_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C']",kaka5406,ProjGrenade_C,,5582.3369140625,2023-06-17 14:57:34.432
su95su,WeapACE32_C_16,"['Item_Attach_Weapon_Upper_Scope6x_C', 'Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Stock_AR_Composite_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C']",Maltipoo_Pongo,WeapBerylM762_C,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C']",1319.2191162109375,2023-06-17 14:58:02.216
StellaR_96,WeapACE32_C_6,"['Item_Attach_Weapon_Stock_AR_Composite_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_Foregrip_C']",Zzeng_KIM,WeapHK416_C,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_HalfGrip_C', 'Item_Attach_Weapon_Stock_AR_Composite_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C']",138.5731964111328,2023-06-17 14:58:03.249
Korean-Chef,WeapAUG_C_29,"['Item_Attach_Weapon_Magazine_QuickDraw_Large_C', 'Item_Attach_Weapon_Lower_HalfGrip_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C']",6082co4-2,WeapKar98k_C,"['Item_Attach_Weapon_Stock_SniperRifle_BulletLoops_C', 'Item_Attach_Weapon_Upper_ACOG_01_C', 'Item_Attach_Weapon_Muzzle_Suppressor_SniperRifle_C']",16875.646484375,2023-06-17 14:58:41.266
Lee-load,WeapM16A4_C_4,"['Item_Attach_Weapon_Upper_Holosight_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Stock_AR_Composite_C', 'Item_Attach_Weapon_Muzzle_FlashHider_Large_C']",0070_Handeul,WeapHK416_C,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_ThumbGrip_C', 'Item_Attach_Weapon_Stock_AR_HeavyStock_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C']",2887.76904296875,2023-06-17 14:58:56.926
2018_02_05,WeapAUG_C_28,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C']",0070_Handeul,WeapHK416_C,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_ThumbGrip_C', 'Item_Attach_Weapon_Stock_AR_HeavyStock_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C']",2167.065673828125,2023-06-17 14:59:09.888
VVV_GROZA,WeapAUG_C_20,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Magazine_QuickDraw_Large_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_HalfGrip_C']",0070_Handeul,WeapQBU88_C,"['Item_Attach_Weapon_Upper_Scope6x_C', 'Item_Attach_Weapon_Muzzle_Suppressor_Large_C', 'Item_Attach_Weapon_Magazine_Extended_SniperRifle_C', 'Item_Attach_Weapon_SideRail_DotSight_RMR_C']",7276.5146484375,2023-06-17 14:59:14.900
xmdhkdltm_skdus,WeapAUG_C_24,"['Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C']",zZab_zucchini_,WeapHK416_C,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_AngledForeGrip_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Upper_Scope3x_C', 'Item_Attach_Weapon_Stock_AR_Composite_C']",3319.02099609375,2023-06-17 14:59:25.185
VVV_Toy,WeapAUG_C_26,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Upper_DotSight_01_C']",0070_Handeul,ProjGrenade_C,,3437.5859375,2023-06-17 14:59:38.418
010-5542-5562,WeapAUG_C_8,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Lower_AngledForeGrip_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C']",zZab_zucchini_,WeapHK416_C,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_AngledForeGrip_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Upper_Scope3x_C', 'Item_Attach_Weapon_Stock_AR_Composite_C']",995.354736328125,2023-06-17 15:00:02.227
GA__________GA,WeapQBU88_C_15,"['Item_Attach_Weapon_Muzzle_Suppressor_SniperRifle_C', 'Item_Attach_Weapon_Upper_Scope3x_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C']",KR_HYUN00,WeapAUG_C,"['Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C']",2828.46044921875,2023-06-17 15:00:31.684
KR_HYUN00,WeapAUG_C_6,"['Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C']",KO__ZOM,WeapAUG_C,"['Item_Attach_Weapon_Upper_Holosight_C', 'Item_Attach_Weapon_Muzzle_FlashHider_Large_C']",2455.68994140625,2023-06-17 15:00:37.898
lmh8630,WeapHK416_C_20,"['Item_Attach_Weapon_Muzzle_FlashHider_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Lower_LightweightForeGrip_C', 'Item_Attach_Weapon_Stock_AR_HeavyStock_C']",Next_Gamer00,WeapFNFal_C,"['Item_Attach_Weapon_Magazine_Extended_Large_C', 'Item_Attach_Weapon_Muzzle_FlashHider_SniperRifle_C', 'Item_Attach_Weapon_Upper_ACOG_01_C']",4079.640380859375,2023-06-17 15:00:51.826
Regret_Table,WeapHK416_C_24,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Lower_AngledForeGrip_C', 'Item_Attach_Weapon_Stock_AR_Composite_C']",kaka5406,WeapBerylM762_C,"['Item_Attach_Weapon_Muzzle_Suppressor_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_SideRail_DotSight_RMR_C']",820.5453491210938,2023-06-17 15:02:42.251
LrZr--------bye,WeapQBU88_C_11,"['Item_Attach_Weapon_Muzzle_Suppressor_Large_C', 'Item_Attach_Weapon_Upper_ACOG_01_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C']",RangWoo1107,WeapAK47_C,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C']",4506.0439453125,2023-06-17 15:02:50.899
NRs2BS,WeapSmokeBomb_C_45,,RangWoo1107,WeapAK47_C,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C']",2799.866455078125,2023-06-17 15:02:50.901
sksrmeoaksdml,WeapHK416_C_15,"['Item_Attach_Weapon_Upper_Scope3x_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Stock_AR_Composite_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C']",aejskleil,WeapAUG_C,"['Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Lower_ThumbGrip_C']",4090.635009765625,2023-06-17 15:03:27.272
0070_Handeul,WeapAUG_C_31,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C']",Seung-Yun-Mo,WeapAUG_C,"['Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Lower_ThumbGrip_C', 'Item_Attach_Weapon_Upper_Aimpoint_C', 'Item_Attach_Weapon_Muzzle_Suppressor_Large_C']",2342.81494140625,2023-06-17 15:04:16.270
zZab_zucchini_,WeapAUG_C_33,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_AngledForeGrip_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Upper_Scope3x_C']",6082co4-2,WeapBerylM762_C,"['Item_Attach_Weapon_Upper_DotSight_01_C', 'Item_Attach_Weapon_Lower_HalfGrip_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Muzzle_Compensator_Large_C']",3535.720947265625,2023-06-17 15:04:17.404
zZab_kimseongtae,WeapMolotov_C_24,,parkbuyoung,WeapAUG_C,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C', 'Item_Attach_Weapon_Lower_HalfGrip_C', 'Item_Attach_Weapon_SideRail_DotSight_RMR_C', 'Item_Attach_Weapon_Upper_DotSight_01_C']",1308.3753662109375,2023-06-17 15:04:17.406
Atobjob,WeapKar98k_C_7,"['Item_Attach_Weapon_Upper_ACOG_01_C', 'Item_Attach_Weapon_Stock_SniperRifle_CheekPad_C']",Ziatoi,WeapKar98k_C,"['Item_Attach_Weapon_Stock_SniperRifle_CheekPad_C', 'Item_Attach_Weapon_Muzzle_Suppressor_SniperRifle_C', 'Item_Attach_Weapon_Upper_Scope6x_C']",11898.677734375,2023-06-17 15:04:43.628
Zzeng_KIM,WeapHK416_C_2,"['Item_Attach_Weapon_Muzzle_Compensator_Large_C', 'Item_Attach_Weapon_Lower_Foregrip_C', 'Item_Attach_Weapon_Stock_AR_Composite_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Upper_Holosight_C']",aejskleil,WeapMk12_C,"['Item_Attach_Weapon_Muzzle_Suppressor_SniperRifle_C', 'Item_Attach_Weapon_Magazine_ExtendedQuickDraw_Large_C', 'Item_Attach_Weapon_Upper_Scope6x_C', 'Item_Attach_Weapon_Lower_LightweightForeGrip_C']",6902.77001953125,2023-06-17 15:04:51.776
KO__ZOM,WeapSmokeBomb_C_46,,,,,-1.0,2023-06-17 15:04:59.098
frenchblack01,WeapSmokeBomb_C_50,,slofe,WeapMk12_C,"['Item_Attach_Weapon_Muzzle_Suppressor_Large_C', 'Item_Attach_Weapon_Lower_LightweightForeGrip_C', 'Item_Attach_Weapon_Magazine_Extended_Large_C', 'Item_Attach_Weapon_Upper_ACOG_01_C']",29407.744140625,2023-06-17 15:05:55.769
